fibre_type,quantity_of_fibre,application,color_of_fibre,pan_powder,dmf_solvent,additives,heating_time,energy_use,argon_gas,oxidation,sizing,water,drying,strength,flexibility,diameter_accuracy
Rayon-based Carbon Fiber,16.54,Construction,Silver,4.92,6.3,None,95.99,412.89,0.76,3.19,1.56,126.3,3.8,86.25,95.57,91.12
Rayon-based Carbon Fiber,26.04,Automotive,Gray,3.91,9.36,Silica,88.82,117.09,1.6,0.96,3.93,87.28,7.05,98.8,88.86,86.53
PAN-based Carbon Fiber,159.62,Sports Equipment,Gray,3.78,7.86,Silica,94.32,241.99,3.72,3.53,3.13,63.09,9.24,88.87,86.03,96.67
PAN-based Carbon Fiber,18.56,Aerospace,Gray,2.83,9.29,Titania,69.48,424.14,0.67,4.9,4.37,25.48,5.54,91.79,94.61,93.51
Rayon-based Carbon Fiber,109.92,Construction,Gray,4.1,6.34,Titania,171.9,379.99,3.93,3.38,1.58,182.07,5.39,95.52,88.33,92.89
Pitch-based Carbon Fiber,196.19,Construction,Silver,2.0,9.52,Alumina,98.56,484.53,3.28,4.96,0.78,185.08,1.78,94.47,85.92,94.23
PAN-based Carbon Fiber,71.51,Construction,Silver,4.37,9.56,Titania,43.18,442.59,2.44,4.69,3.09,21.59,7.54,91.35,96.03,88.59
Pitch-based Carbon Fiber,38.18,Construction,Gray,1.39,6.15,None,166.46,260.85,4.27,1.47,1.81,99.86,5.83,87.53,95.13,97.6
Pitch-based Carbon Fiber,122.66,Construction,Silver,3.47,9.23,Titania,62.56,358.33,4.55,2.63,1.14,107.03,9.03,89.78,99.61,91.59
PAN-based Carbon Fiber,45.78,Aerospace,Black,2.67,5.13,Silica,109.71,485.38,1.32,0.77,1.0,36.34,7.48,97.84,92.34,91.93
Rayon-based Carbon Fiber,10.22,Sports Equipment,Black,4.65,6.21,None,119.22,363.25,2.29,3.28,2.97,10.42,9.81,87.48,86.23,95.63
Rayon-based Carbon Fiber,59.5,Aerospace,Silver,0.6,9.51,Alumina,75.52,138.37,3.22,1.91,1.11,191.74,7.28,94.01,88.46,94.58
PAN-based Carbon Fiber,65.01,Aerospace,Gray,1.67,3.93,Titania,39.35,70.28,3.93,2.08,1.83,123.85,8.97,95.57,86.35,89.5
Pitch-based Carbon Fiber,148.91,Construction,Silver,4.12,2.41,Silica,174.68,339.02,1.71,2.29,1.14,11.33,5.89,98.12,96.72,99.66
PAN-based Carbon Fiber,142.35,Automotive,Silver,0.87,8.41,None,115.54,365.21,4.3,2.03,4.66,117.26,7.62,89.38,86.17,99.55
PAN-based Carbon Fiber,116.77,Sports Equipment,Black,2.78,2.78,Silica,147.57,438.32,1.3,4.87,3.24,116.12,8.95,87.91,99.24,97.85
PAN-based Carbon Fiber,114.75,Construction,Gray,3.47,7.33,None,168.68,409.96,2.05,0.83,1.9,199.2,1.06,98.55,90.1,92.59
PAN-based Carbon Fiber,104.81,Aerospace,Silver,1.01,1.51,Silica,98.34,213.9,4.47,5.0,0.63,81.01,8.77,89.46,87.86,91.37
Rayon-based Carbon Fiber,183.87,Sports Equipment,Black,1.86,3.17,Alumina,142.66,427.4,1.01,3.62,0.27,147.41,6.72,96.63,86.82,95.08
PAN-based Carbon Fiber,184.46,Automotive,Black,4.79,4.2,Alumina,101.32,317.78,1.18,4.98,3.01,153.09,7.89,98.05,86.03,95.49
Rayon-based Carbon Fiber,82.6,Aerospace,Silver,4.77,2.52,Titania,58.61,474.28,2.57,3.63,3.38,51.91,3.74,99.57,88.27,93.77
PAN-based Carbon Fiber,55.84,Aerospace,Black,4.8,5.28,Titania,139.72,134.46,4.29,3.63,2.39,197.81,7.05,96.27,95.98,93.06
PAN-based Carbon Fiber,23.48,Sports Equipment,Gray,4.63,2.07,Alumina,150.66,140.46,3.98,0.63,2.22,121.01,5.31,91.8,89.41,88.09
PAN-based Carbon Fiber,64.14,Aerospace,Silver,0.75,3.41,Titania,131.46,413.43,4.82,1.51,4.43,181.86,6.46,87.52,91.3,92.35
PAN-based Carbon Fiber,62.8,Construction,Gray,3.88,7.38,None,50.18,491.2,1.96,3.29,1.94,50.04,4.14,98.3,86.68,93.81
Pitch-based Carbon Fiber,146.28,Construction,Black,2.67,2.96,Titania,176.55,375.9,4.22,3.98,0.51,30.56,4.21,97.2,99.77,95.65
PAN-based Carbon Fiber,152.75,Automotive,Black,3.91,4.87,None,93.24,340.1,4.87,3.98,4.34,75.61,8.9,85.95,98.92,86.4
Rayon-based Carbon Fiber,22.72,Automotive,Gray,2.6,5.98,Silica,168.74,69.15,2.38,0.6,3.6,144.49,5.49,89.63,93.34,91.05
Pitch-based Carbon Fiber,38.05,Construction,Silver,1.72,4.79,None,109.79,89.57,4.04,4.0,0.22,143.14,2.9,94.85,85.15,98.66
Pitch-based Carbon Fiber,160.88,Aerospace,Black,3.57,1.13,Titania,37.56,57.27,2.97,3.96,0.7,172.13,2.74,98.0,94.87,86.01
PAN-based Carbon Fiber,93.58,Automotive,Black,3.37,2.84,Alumina,49.64,160.45,3.58,3.59,0.15,88.43,8.5,87.26,92.16,87.86
Pitch-based Carbon Fiber,153.96,Automotive,Black,4.16,8.82,Titania,54.97,50.52,1.05,0.67,1.95,133.8,0.74,88.84,98.95,92.41
PAN-based Carbon Fiber,57.88,Automotive,Gray,1.52,8.2,Silica,34.54,241.1,2.61,2.96,4.25,31.77,5.74,85.28,92.1,94.5
Rayon-based Carbon Fiber,56.48,Sports Equipment,Gray,1.79,9.39,Titania,42.82,377.4,4.17,3.88,0.53,167.4,8.92,91.4,88.31,88.3
Pitch-based Carbon Fiber,131.79,Aerospace,Gray,0.68,2.77,Silica,160.53,405.02,0.68,2.02,4.42,21.42,8.61,93.68,89.89,87.17
Rayon-based Carbon Fiber,185.29,Aerospace,Black,3.4,2.36,None,97.79,333.8,1.42,4.94,2.29,10.7,1.21,97.27,96.71,89.64
Pitch-based Carbon Fiber,140.7,Automotive,Black,1.0,7.98,None,147.3,389.69,4.6,3.16,3.78,95.28,4.97,89.55,98.02,96.82
PAN-based Carbon Fiber,108.31,Construction,Black,1.32,2.35,Titania,146.06,386.51,1.5,3.76,0.54,154.84,2.33,89.58,87.37,85.01
PAN-based Carbon Fiber,141.04,Aerospace,Gray,3.26,4.52,None,172.71,167.96,3.73,3.97,2.52,195.69,7.57,89.66,88.45,99.1
PAN-based Carbon Fiber,32.43,Construction,Black,3.34,6.45,Alumina,122.32,491.26,4.26,1.51,3.97,32.46,7.24,91.38,95.27,93.15
PAN-based Carbon Fiber,198.24,Sports Equipment,Black,1.45,3.48,Titania,121.61,53.73,2.11,0.7,2.65,198.83,6.4,91.48,98.46,86.22
Pitch-based Carbon Fiber,104.3,Aerospace,Black,4.81,5.27,Alumina,63.09,180.0,3.71,0.91,3.62,168.72,2.17,93.65,87.74,99.28
Pitch-based Carbon Fiber,22.77,Sports Equipment,Black,1.62,3.01,None,104.26,218.75,4.88,2.28,4.53,142.79,6.42,94.05,95.23,89.45
PAN-based Carbon Fiber,177.69,Sports Equipment,Silver,4.09,3.18,Silica,124.52,91.48,4.99,0.19,0.53,183.52,0.9,99.45,85.4,89.89
Pitch-based Carbon Fiber,108.97,Automotive,Silver,1.64,6.52,Silica,94.99,493.14,2.96,0.64,1.2,144.22,7.51,87.11,88.72,97.44
PAN-based Carbon Fiber,106.24,Automotive,Silver,1.36,8.45,Silica,47.88,295.72,3.86,2.81,2.64,24.98,5.28,99.03,86.63,91.99
Pitch-based Carbon Fiber,30.27,Sports Equipment,Gray,1.81,6.26,Alumina,133.02,208.41,3.39,2.6,3.68,139.26,2.41,87.73,85.46,97.96
PAN-based Carbon Fiber,156.4,Construction,Gray,1.14,6.69,None,86.45,407.9,1.57,2.35,3.52,185.82,1.97,86.44,98.94,94.6
Rayon-based Carbon Fiber,171.51,Automotive,Gray,2.68,6.27,Alumina,145.14,200.72,2.96,4.53,0.87,10.76,6.42,92.49,88.3,90.22
PAN-based Carbon Fiber,124.64,Sports Equipment,Silver,4.45,6.81,Alumina,149.61,395.6,1.0,2.76,2.01,133.71,1.33,96.68,88.75,93.24
Rayon-based Carbon Fiber,116.38,Automotive,Black,1.35,7.96,Alumina,146.53,179.9,1.66,3.59,3.68,54.72,3.64,94.5,97.06,96.28
PAN-based Carbon Fiber,159.85,Aerospace,Black,4.9,3.9,Titania,132.75,370.45,1.83,1.96,3.64,69.01,8.53,99.84,92.19,87.79
Rayon-based Carbon Fiber,25.74,Aerospace,Gray,3.16,6.23,Titania,75.04,81.01,4.29,0.42,2.81,166.72,6.93,91.32,91.4,88.2
PAN-based Carbon Fiber,152.18,Construction,Silver,2.06,3.04,Silica,114.46,469.52,1.26,1.78,2.41,51.08,0.67,93.42,98.35,90.01
Pitch-based Carbon Fiber,187.25,Sports Equipment,Silver,4.49,9.19,Silica,122.74,78.16,3.35,4.75,0.42,129.68,2.7,90.86,95.64,87.42
Rayon-based Carbon Fiber,64.85,Construction,Gray,3.8,9.27,Silica,32.97,447.31,0.77,2.65,2.36,23.15,6.25,98.72,86.2,85.27
Rayon-based Carbon Fiber,194.07,Aerospace,Silver,4.01,1.31,None,175.52,450.01,2.54,0.85,1.54,40.56,4.77,90.58,88.68,99.3
Rayon-based Carbon Fiber,68.27,Aerospace,Gray,2.12,7.2,Silica,50.66,215.66,3.38,0.98,2.76,70.38,2.18,93.54,87.65,99.63
Rayon-based Carbon Fiber,77.57,Aerospace,Silver,4.78,2.96,None,114.05,90.78,4.6,1.11,1.31,28.81,0.51,87.44,98.27,85.8
Pitch-based Carbon Fiber,155.15,Sports Equipment,Silver,1.35,2.91,None,103.73,282.33,1.06,2.47,2.27,178.02,9.3,87.0,97.34,90.5
Rayon-based Carbon Fiber,195.16,Construction,Gray,2.52,4.3,Alumina,68.43,92.51,2.22,2.01,4.6,21.62,1.36,90.09,96.97,97.51
PAN-based Carbon Fiber,87.49,Construction,Silver,4.3,3.33,Silica,83.0,347.49,3.23,0.24,2.37,194.12,1.36,86.28,96.57,96.07
PAN-based Carbon Fiber,25.55,Automotive,Black,3.7,5.46,Alumina,64.67,382.29,3.04,4.75,1.51,62.96,6.82,98.01,88.24,88.34
Pitch-based Carbon Fiber,36.59,Automotive,Gray,1.46,9.94,Silica,38.37,341.1,0.78,0.99,1.24,103.45,9.78,99.13,85.64,85.36
Rayon-based Carbon Fiber,64.87,Aerospace,Black,0.54,2.93,Silica,163.61,220.02,4.5,4.3,4.5,124.07,5.75,95.57,94.66,85.88
Rayon-based Carbon Fiber,169.53,Sports Equipment,Black,4.38,2.72,None,157.84,430.78,2.79,0.92,2.72,176.29,1.04,85.0,93.23,86.12
PAN-based Carbon Fiber,164.99,Automotive,Silver,1.39,6.61,Silica,74.61,176.01,0.58,4.06,4.34,144.89,9.83,99.74,97.17,86.47
Pitch-based Carbon Fiber,36.19,Sports Equipment,Gray,2.33,3.48,Alumina,96.14,346.31,1.64,0.45,3.01,37.17,2.47,91.24,92.15,97.54
Rayon-based Carbon Fiber,61.56,Automotive,Black,1.67,8.49,Silica,33.32,435.0,0.53,3.19,1.43,29.92,2.69,87.45,95.1,86.62
PAN-based Carbon Fiber,95.26,Aerospace,Silver,4.14,9.1,Silica,106.21,190.52,3.08,2.78,1.1,175.53,7.82,88.73,90.48,94.69
Rayon-based Carbon Fiber,80.14,Sports Equipment,Black,1.69,7.25,Silica,107.79,412.58,3.06,2.45,4.21,189.68,6.93,98.24,94.45,95.61
Rayon-based Carbon Fiber,129.65,Construction,Black,2.28,9.03,Alumina,62.96,433.01,2.15,1.05,2.61,97.96,6.18,96.85,92.37,85.9
PAN-based Carbon Fiber,114.22,Sports Equipment,Black,2.01,6.96,None,151.13,137.34,4.97,2.64,3.14,199.14,5.87,93.43,85.33,99.92
Pitch-based Carbon Fiber,49.08,Automotive,Black,4.68,5.55,Silica,103.6,451.82,1.03,1.8,3.24,129.45,9.29,92.13,99.4,93.24
PAN-based Carbon Fiber,128.81,Automotive,Silver,4.93,9.79,Titania,59.2,475.18,1.22,4.29,4.27,51.95,8.57,93.84,94.03,94.7
PAN-based Carbon Fiber,145.7,Construction,Silver,4.69,6.06,Alumina,46.28,376.87,1.48,4.18,3.43,44.02,0.95,96.87,96.69,88.35
Rayon-based Carbon Fiber,60.91,Aerospace,Black,3.58,1.59,Titania,111.63,131.13,1.16,1.79,3.57,143.34,9.6,86.71,93.12,89.18
Rayon-based Carbon Fiber,80.89,Automotive,Black,4.1,7.1,Silica,125.76,299.46,2.3,3.63,0.11,180.04,9.02,88.59,97.85,94.82
Pitch-based Carbon Fiber,183.16,Construction,Gray,2.68,6.13,Titania,159.97,73.15,2.57,4.53,2.44,44.15,5.45,95.21,88.78,87.18
PAN-based Carbon Fiber,109.27,Sports Equipment,Silver,4.6,2.34,Titania,156.79,236.98,4.69,1.12,1.07,168.99,6.12,95.22,89.27,93.81
Pitch-based Carbon Fiber,195.56,Aerospace,Silver,1.55,5.55,Silica,65.67,377.24,3.5,1.0,3.46,45.32,8.69,88.88,94.45,87.38
Pitch-based Carbon Fiber,112.09,Automotive,Silver,2.07,1.69,Titania,87.3,278.78,2.51,1.26,4.63,133.28,8.09,90.67,99.74,93.47
Pitch-based Carbon Fiber,114.2,Sports Equipment,Black,2.37,9.92,Silica,111.47,187.81,2.66,1.26,4.09,190.48,2.13,91.03,97.21,89.28
Pitch-based Carbon Fiber,78.72,Aerospace,Silver,3.96,4.49,Alumina,178.89,133.58,0.67,3.23,4.84,156.16,2.0,90.55,89.75,96.36
Rayon-based Carbon Fiber,140.94,Aerospace,Black,1.59,1.14,Alumina,95.63,84.73,4.18,1.04,4.9,53.81,6.5,90.84,95.76,98.84
PAN-based Carbon Fiber,190.72,Sports Equipment,Gray,3.25,8.24,Silica,133.04,189.84,1.27,4.73,2.76,199.71,1.69,97.51,87.58,88.43
Rayon-based Carbon Fiber,34.78,Construction,Gray,4.37,2.13,None,145.5,79.33,4.59,0.57,3.48,36.56,1.38,95.2,99.52,94.44
PAN-based Carbon Fiber,137.74,Automotive,Black,1.56,3.96,Silica,162.74,150.32,0.96,3.33,0.2,142.12,7.72,97.05,85.98,89.49
PAN-based Carbon Fiber,102.16,Aerospace,Gray,4.9,8.9,Titania,40.43,414.78,1.31,2.45,2.66,57.92,2.21,98.8,96.7,96.12
Pitch-based Carbon Fiber,36.26,Aerospace,Black,4.72,3.95,None,101.14,131.21,1.32,4.97,3.19,147.08,7.75,98.37,95.56,86.96
Rayon-based Carbon Fiber,93.36,Construction,Black,1.91,7.52,Alumina,96.46,92.79,3.36,1.04,3.05,171.18,1.08,87.43,97.8,96.17
PAN-based Carbon Fiber,31.11,Sports Equipment,Silver,1.07,7.21,Silica,169.86,240.1,2.75,4.74,2.87,123.54,2.91,95.13,90.07,85.97
Rayon-based Carbon Fiber,28.4,Construction,Silver,3.62,6.42,Titania,110.54,156.77,3.06,4.71,0.76,160.5,4.22,98.27,88.93,97.0
Rayon-based Carbon Fiber,118.88,Sports Equipment,Gray,4.07,3.65,Titania,128.99,149.03,0.52,1.59,3.18,141.06,7.67,85.26,86.97,95.28
PAN-based Carbon Fiber,143.0,Construction,Silver,3.77,4.73,None,138.37,60.95,3.99,4.1,2.48,65.43,6.98,89.7,90.19,93.76
Pitch-based Carbon Fiber,164.5,Sports Equipment,Silver,3.3,4.01,Titania,166.42,146.91,3.99,1.89,2.61,22.86,7.73,97.24,85.28,87.07
Pitch-based Carbon Fiber,197.31,Construction,Silver,3.04,4.93,Alumina,113.61,452.14,2.61,3.74,2.55,172.65,4.48,88.39,98.39,89.05
PAN-based Carbon Fiber,132.87,Automotive,Silver,4.03,7.49,Silica,30.69,86.48,3.01,0.51,3.04,155.75,1.69,87.2,95.25,90.41
Rayon-based Carbon Fiber,160.55,Aerospace,Black,1.22,5.97,None,96.4,269.62,2.59,1.89,0.18,140.13,8.87,89.38,94.58,91.86
PAN-based Carbon Fiber,40.77,Construction,Silver,4.06,6.84,Titania,88.22,97.75,4.22,4.58,4.05,151.98,1.81,90.29,88.15,93.34
Pitch-based Carbon Fiber,92.33,Sports Equipment,Silver,1.11,2.58,Silica,49.63,319.28,1.86,2.03,0.99,33.59,1.56,86.61,95.89,97.8
Pitch-based Carbon Fiber,197.82,Sports Equipment,Gray,2.27,2.96,Silica,133.93,172.04,4.63,1.27,2.25,150.48,3.44,85.13,85.63,97.69
Rayon-based Carbon Fiber,19.63,Aerospace,Black,0.73,6.27,Alumina,145.19,222.61,4.63,4.99,4.95,165.65,8.09,87.57,99.62,94.95
Rayon-based Carbon Fiber,55.29,Construction,Black,3.29,4.85,Alumina,150.26,284.67,1.18,3.93,3.27,34.36,5.28,91.98,95.6,92.62
PAN-based Carbon Fiber,79.16,Construction,Gray,0.52,1.98,Silica,60.39,50.08,2.56,2.72,1.23,52.28,7.68,97.95,87.73,96.07
Pitch-based Carbon Fiber,33.88,Construction,Silver,3.54,2.76,None,140.76,430.83,4.42,4.52,4.23,143.48,6.23,96.8,97.59,87.5
Rayon-based Carbon Fiber,85.55,Sports Equipment,Black,3.03,4.13,None,151.08,450.24,3.12,1.34,3.98,53.52,7.12,88.07,89.01,96.81
Pitch-based Carbon Fiber,158.89,Aerospace,Gray,3.73,8.2,Titania,167.23,69.64,4.1,0.12,1.23,179.74,1.63,97.08,91.02,86.55
Pitch-based Carbon Fiber,13.04,Aerospace,Silver,2.7,7.83,Titania,63.96,444.13,2.77,2.97,2.16,77.07,5.86,98.53,96.36,97.89
Rayon-based Carbon Fiber,186.49,Sports Equipment,Silver,1.25,8.26,Alumina,166.54,163.24,4.61,0.85,2.36,97.48,6.86,97.15,89.4,98.24
PAN-based Carbon Fiber,94.81,Sports Equipment,Silver,1.07,4.21,Titania,151.3,191.31,4.52,3.12,0.62,95.96,5.2,91.22,92.58,97.62
Rayon-based Carbon Fiber,178.9,Aerospace,Gray,4.01,8.0,Silica,70.61,298.51,0.94,1.59,1.79,184.4,6.35,87.82,88.03,96.47
PAN-based Carbon Fiber,164.2,Aerospace,Black,3.44,7.0,Alumina,65.08,316.28,1.31,4.7,4.49,141.39,5.53,86.14,94.98,99.62
PAN-based Carbon Fiber,130.36,Construction,Black,3.43,1.66,Silica,48.72,251.2,3.18,1.79,3.46,196.75,7.81,87.38,92.71,92.52
Rayon-based Carbon Fiber,117.46,Aerospace,Gray,4.06,3.1,Titania,94.37,156.28,2.52,0.51,2.57,192.49,4.16,96.26,99.98,89.79
PAN-based Carbon Fiber,36.13,Automotive,Silver,1.06,2.63,Silica,127.7,417.27,0.59,3.86,2.79,94.7,7.99,92.03,88.16,95.36
PAN-based Carbon Fiber,181.5,Construction,Black,1.02,4.46,Titania,138.39,305.34,4.33,2.38,3.34,84.54,1.8,98.5,88.12,92.49
PAN-based Carbon Fiber,175.59,Sports Equipment,Silver,2.24,6.62,None,32.23,426.2,3.64,1.93,2.79,46.91,9.63,98.61,89.4,86.93
Rayon-based Carbon Fiber,157.18,Construction,Black,2.37,4.96,Alumina,139.6,212.71,4.71,2.49,1.25,156.31,5.25,85.22,99.29,92.84
Rayon-based Carbon Fiber,22.11,Construction,Gray,1.68,9.78,Titania,100.99,250.79,4.59,0.65,3.87,113.53,5.04,93.75,96.13,90.97
Pitch-based Carbon Fiber,17.16,Automotive,Gray,1.85,5.97,Titania,108.05,438.3,2.69,4.65,0.9,84.36,2.41,88.92,85.5,99.02
Pitch-based Carbon Fiber,68.91,Automotive,Black,4.68,7.54,Titania,92.26,469.05,4.43,4.78,4.76,120.32,5.63,87.82,93.19,94.67
PAN-based Carbon Fiber,18.99,Aerospace,Black,0.7,3.56,Titania,127.31,355.02,3.13,2.91,1.02,53.4,5.8,87.85,87.63,85.23
Pitch-based Carbon Fiber,176.53,Automotive,Black,3.82,1.21,Silica,99.2,453.52,3.47,3.96,3.74,121.92,8.1,88.9,98.96,98.9
Pitch-based Carbon Fiber,183.39,Aerospace,Silver,4.79,7.7,Alumina,165.38,398.17,2.37,0.55,0.72,151.89,2.51,98.57,99.09,96.39
PAN-based Carbon Fiber,93.57,Automotive,Black,3.41,9.55,Titania,59.16,444.43,4.74,0.74,1.53,161.02,9.17,85.21,85.07,92.6
PAN-based Carbon Fiber,41.72,Construction,Gray,4.65,6.9,Titania,132.67,195.68,1.1,1.38,4.56,178.29,8.08,93.03,90.97,94.68
PAN-based Carbon Fiber,70.87,Construction,Gray,1.87,8.87,Titania,40.98,457.37,4.87,0.49,4.64,139.53,5.85,86.36,99.23,92.06
PAN-based Carbon Fiber,128.62,Construction,Black,2.0,3.21,Alumina,127.21,178.65,3.75,3.84,2.57,54.03,5.29,99.46,85.78,96.93
PAN-based Carbon Fiber,185.81,Sports Equipment,Black,0.89,2.97,Titania,149.95,276.08,1.71,0.11,3.22,33.16,6.22,88.3,99.26,97.59
Pitch-based Carbon Fiber,20.92,Sports Equipment,Black,3.64,4.48,Titania,165.27,414.22,3.09,1.4,1.2,174.91,5.95,98.99,93.04,93.6
Rayon-based Carbon Fiber,94.5,Construction,Silver,4.17,5.41,Alumina,36.21,99.55,3.37,4.03,3.96,157.44,4.06,91.33,88.06,85.76
PAN-based Carbon Fiber,101.23,Automotive,Gray,3.41,6.93,Titania,119.66,394.13,4.32,2.54,1.27,192.19,8.21,90.3,90.95,96.79
Rayon-based Carbon Fiber,198.85,Sports Equipment,Silver,2.66,1.0,Silica,113.94,222.72,1.42,0.56,0.13,75.1,0.83,93.7,98.7,98.57
Pitch-based Carbon Fiber,125.66,Aerospace,Gray,1.18,7.58,None,108.88,229.62,1.79,0.8,4.63,45.19,3.46,99.15,88.31,99.24
Pitch-based Carbon Fiber,69.05,Construction,Gray,4.8,5.39,Silica,146.57,184.6,4.29,2.77,2.61,96.88,2.19,88.2,95.39,85.01
PAN-based Carbon Fiber,165.24,Automotive,Black,3.33,9.99,Alumina,120.8,368.12,3.97,3.06,2.44,148.5,5.73,99.61,94.64,89.77
PAN-based Carbon Fiber,134.52,Aerospace,Silver,3.16,1.72,None,100.37,277.55,3.95,1.97,2.6,30.68,6.99,85.74,89.47,99.05
Pitch-based Carbon Fiber,134.46,Aerospace,Black,4.55,7.02,Titania,138.19,80.14,3.28,4.68,1.24,85.82,2.2,87.23,88.85,87.78
Pitch-based Carbon Fiber,113.61,Automotive,Gray,4.92,2.45,Silica,110.74,69.11,3.26,0.17,0.52,114.56,6.13,93.18,87.99,91.68
Pitch-based Carbon Fiber,106.43,Aerospace,Black,4.53,2.19,None,62.18,407.96,1.25,1.71,2.51,10.16,5.45,97.22,98.65,90.97
PAN-based Carbon Fiber,184.05,Sports Equipment,Silver,2.49,4.58,Silica,140.15,412.09,4.77,3.3,2.81,20.16,2.26,94.53,93.78,97.17
Pitch-based Carbon Fiber,144.14,Construction,Black,0.73,3.28,None,156.32,286.67,4.25,2.38,0.21,194.15,7.35,86.05,90.44,97.88
Pitch-based Carbon Fiber,129.65,Aerospace,Silver,4.33,9.18,Alumina,41.42,195.54,1.6,3.4,4.39,65.42,6.15,86.99,97.99,93.79
PAN-based Carbon Fiber,128.17,Automotive,Black,2.24,1.06,None,128.14,132.25,3.36,0.2,4.47,21.4,5.88,86.02,86.05,91.37
Rayon-based Carbon Fiber,65.37,Sports Equipment,Black,3.18,3.37,Alumina,179.32,212.59,1.46,0.43,0.8,185.24,4.69,96.29,99.65,92.51
PAN-based Carbon Fiber,168.91,Sports Equipment,Gray,4.21,6.96,Alumina,97.43,453.42,0.89,1.07,1.55,192.28,2.32,98.39,89.2,88.19
Pitch-based Carbon Fiber,139.23,Sports Equipment,Silver,3.88,7.47,Titania,57.48,492.96,1.15,1.94,3.97,22.0,6.8,85.28,98.6,97.64
Pitch-based Carbon Fiber,26.97,Automotive,Gray,0.88,8.15,Alumina,171.71,485.26,1.41,2.97,3.68,124.82,0.83,92.69,95.7,88.79
PAN-based Carbon Fiber,18.31,Sports Equipment,Black,2.1,7.16,Silica,33.05,419.6,2.13,4.57,4.41,187.0,2.67,98.64,93.89,92.48
Pitch-based Carbon Fiber,122.28,Sports Equipment,Black,4.24,7.7,Silica,134.86,54.9,3.68,4.95,1.14,135.66,3.97,87.66,97.7,99.19
PAN-based Carbon Fiber,148.67,Sports Equipment,Silver,2.57,1.03,Alumina,33.9,205.58,2.53,2.84,3.58,45.23,1.88,99.03,95.82,94.68
Rayon-based Carbon Fiber,17.87,Construction,Silver,2.99,4.69,Titania,104.45,399.07,4.53,4.92,3.66,75.46,5.17,91.55,86.62,92.18
Pitch-based Carbon Fiber,113.41,Aerospace,Black,2.87,1.99,Titania,58.67,400.14,3.28,0.9,2.84,106.98,0.85,96.48,95.83,90.75
Rayon-based Carbon Fiber,97.35,Aerospace,Black,1.34,6.38,Alumina,57.23,163.69,1.8,4.15,2.55,127.42,6.37,90.22,85.57,92.59
Pitch-based Carbon Fiber,36.19,Sports Equipment,Gray,2.66,3.84,None,37.44,225.23,3.23,3.03,3.61,42.39,7.13,86.85,96.24,90.21
Pitch-based Carbon Fiber,112.19,Aerospace,Black,1.08,2.31,Alumina,45.63,321.25,2.18,3.76,4.16,56.85,3.73,90.02,97.17,99.84
PAN-based Carbon Fiber,151.78,Automotive,Black,0.62,6.22,Alumina,171.34,170.66,0.63,3.91,4.09,78.77,3.44,88.19,98.32,91.5
Rayon-based Carbon Fiber,138.04,Construction,Silver,3.59,5.75,Alumina,132.99,229.64,4.4,0.84,2.07,18.47,1.59,89.57,89.3,97.66
Pitch-based Carbon Fiber,155.63,Construction,Gray,1.88,8.84,Titania,117.88,260.41,2.48,4.03,2.28,61.13,1.85,98.08,96.66,88.53
Rayon-based Carbon Fiber,114.68,Sports Equipment,Silver,0.83,6.9,Silica,155.83,397.61,4.03,0.39,2.91,131.36,1.87,95.56,95.43,86.26
Rayon-based Carbon Fiber,183.36,Automotive,Black,4.03,4.58,Silica,138.49,55.99,1.36,1.07,0.56,184.16,7.79,93.27,99.74,87.78
Rayon-based Carbon Fiber,183.26,Automotive,Silver,3.95,6.07,Titania,97.77,427.72,4.42,4.04,0.55,190.31,9.52,89.26,86.34,94.87
Pitch-based Carbon Fiber,137.03,Aerospace,Silver,4.68,6.57,Titania,58.03,448.49,3.69,3.45,1.44,54.49,7.1,86.5,97.99,88.52
Rayon-based Carbon Fiber,162.34,Sports Equipment,Silver,1.14,6.19,Alumina,129.83,135.83,3.37,0.31,4.37,117.71,9.76,91.45,99.87,95.42
Pitch-based Carbon Fiber,169.15,Sports Equipment,Black,2.57,2.65,Silica,142.71,182.55,4.08,2.1,4.86,10.17,1.99,96.65,99.69,99.3
Pitch-based Carbon Fiber,17.98,Automotive,Silver,0.94,9.61,Alumina,67.0,246.16,3.46,0.84,3.13,66.61,5.81,96.67,86.27,93.52
Rayon-based Carbon Fiber,87.08,Sports Equipment,Gray,2.48,3.14,Alumina,78.24,176.96,1.98,3.83,1.7,115.32,1.77,96.95,93.53,98.89
Pitch-based Carbon Fiber,176.76,Automotive,Gray,3.98,1.88,Silica,141.17,398.3,4.51,3.08,2.91,198.86,3.98,98.71,98.5,97.98
Rayon-based Carbon Fiber,82.35,Construction,Black,0.76,4.09,Silica,90.0,278.93,3.47,1.64,1.97,137.92,8.77,89.89,96.35,87.85
PAN-based Carbon Fiber,106.84,Aerospace,Silver,3.16,5.85,Titania,79.65,395.89,1.55,3.92,0.37,182.68,2.2,98.63,89.02,97.12
Pitch-based Carbon Fiber,169.3,Construction,Silver,1.58,7.49,Alumina,177.24,483.14,1.71,1.07,1.6,138.34,8.34,89.66,98.27,93.93
Pitch-based Carbon Fiber,74.43,Aerospace,Black,3.35,1.49,Titania,150.17,199.86,4.34,1.53,1.07,198.99,5.84,91.11,95.89,99.99
Pitch-based Carbon Fiber,176.99,Aerospace,Silver,2.47,3.79,Titania,40.73,158.9,4.34,0.87,3.26,26.44,4.39,98.04,99.65,92.71
